breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,product_id,sizes,description,other_images
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025.jpg,Manolo Blahnik,Ellis suede loafers,€ 545,€ 381,30% off,P00935025,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 9 / EU 43', 'UK 10 / EU 44', 'UK 11 / EU 45', 'UK 12 / EU 46']","Upper: calf leather Lining: leather Sole: leather insole, rubber sole Toe shape: round toe Made in Italy Includes: shoe box, dust bag Designer color name: 3511 Dkha P00935025 Fits slightly large to size - we recommend trying a half size smaller UK sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/76/P00935025_d4.jpg']"
"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Espadrilles']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620.jpg,Tom Ford,Barnes suede espadrilles,€ 499,€ 299,40% off,P00885620,"['UK 6 / EU 39', 'UK 7 / EU 40', 'UK 8 / EU 41', 'UK 9 / EU 42', 'UK 10 / EU 43', 'UK 11 / EU 44', 'UK 12 / EU 45', 'UK 13 / EU 46', 'UK 14 / EU 47']","Upper: calf leather Lining: leather Sole: leather insole, rubber sole Toe shape: round toe Made in Spain Includes: dust bags, shoe box Designer color name: Tobacco + Ecru Trim: jute P00885620 Fits small to size - we recommend trying one size larger UK sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d4.jpg']"
"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387.jpg,Tom Ford,Cambridge suede sneakers,€ 609,€ 365,40% off,P00885387,"['UK 6 / EU 39', 'UK 7 / EU 40', 'UK 8 / EU 41', 'UK 9 / EU 42', 'UK 10 / EU 43', 'UK 11 / EU 44', 'UK 12 / EU 45', 'UK 13 / EU 46']","Upper: calf leather Lining: leather Sole: leather insole, rubber sole Toe shape: round toe Made in Italy Includes: shoe box, dust bag Designer color name: Beech Green+Cream Closure: lace-up P00885387 True to size Half sizes please take the next size down UK sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d4.jpg']"
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635.jpg,Valentino Garavani,Rockstud Essential leather loafers,€ 749,€ 449,40% off,P00882635,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']","Upper: calf leather Lining: leather Sole: leather insole, rubber sole Toe shape: round toe Made in Italy Includes: shoe box, dust bag P00882635 True to size Half sizes please take the next size up European sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/5d/P00882635_d4.jpg']"
"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603.jpg,Tom Ford,James suede-trimmed sneakers,€ 665,€ 399,40% off,P00885603,"['UK 6 / EU 39', 'UK 7 / EU 40', 'UK 8 / EU 41', 'UK 9 / EU 42', 'UK 10 / EU 43', 'UK 11 / EU 44', 'UK 12 / EU 45', 'UK 13 / EU 46', 'UK 14 / EU 47']","Upper: leather, fabric Lining: leather Sole: fabric insole, rubber sole Toe shape: round toe Made in Italy Includes: shoe box, dust bags Designer color name: Silver + Cream Closure: lace-up P00885603 Fits small to size - we recommend trying one size larger UK sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/fa/P00885603_d4.jpg']"
"['Men', 'Designers', 'Sacai', 'Shoes', 'Derby Shoes']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651.jpg,Sacai,Leather platform Derby shoes,€ 789,€ 552,30% off,P00892651,"['EU 40', 'EU 41', 'EU 42', 'EU 43']","Upper: calf leather Lining: leather Sole: leather insole, rubber sole Toe shape: round toe Made in Japan Includes: shoe box, dust bag P00892651 True to size Half sizes please take the next size down European sizes 8,5cm-3.5"" platform Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d4.jpg']"
"['Men', 'Designers', 'Thom Browne', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405.jpg,Thom Browne,Cutout leather flats,€ 799,€ 399,50% off,P00912405,"['US 7 / EU 40', 'US 8 / EU 41', 'US 9 / EU 42', 'US 10 / EU 43', 'US 11 / EU 44', 'US 12 / EU 45']","Upper: calf leather Lining: leather Sole: leather insole, rubber sole Toe shape: round toe Made in Italy Includes: shoe box, dust bag Closure: buckle fastening P00912405 True to size Half sizes please take the next size down US sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/db/P00912405_d4.jpg']"
"['Men', 'Designers', 'Lemaire', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786.jpg,Lemaire,Leather slippers,€ 465,€ 325,30% off,P00883786,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45']",Upper: leather Lining: leather Sole: leather insole and sole Toe shape: round toe Made in Portugal Includes: dust bag Designer color name: Dark Brown P00883786 Fits small to size - we recommend trying one size larger European sizes Consult our,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e0/P00883786_d4.jpg']"
"['Men', 'Designers', 'Brunello Cucinelli', 'Shoes', 'Formal shoes', 'Brogues']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833.jpg,Brunello Cucinelli,Suede longwing brogues,€ 835,€ 584,30% off,P00895833,"['EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']","Upper: suede Lining: leather Sole: leather insole, leather and rubber sole Toe shape: round toe Made in Italy Includes: shoe box, dust bags Closure: lace-up P00895833 True to size Half sizes please take the next size down European sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d4.jpg']"
"['Men', 'Designers', 'Acne Studios', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726.jpg,Acne Studios,Perey Cities leather sneakers,€ 379,€ 265,30% off,P00880726,"['EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']","Upper: calf leather Lining: fabric Sole: fabric insole, rubber sole Toe shape: round toe Made in Italy Includes: shoe box, dust bag Designer color name: Midnight Blue Closure: VELCRO® fastening P00880726 True to size Half sizes please take the next size up European sizes Consult our","['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d4.jpg']"
